MSOA_Code,MSOA_Name,house_mean_price,crime_rate,PM_index,education
E02000901,Waltham Forest 007,303639,64,97,444.1
E02000902,Waltham Forest 008,228854,68,101,385.9
E02000903,Waltham Forest 009,215571,63,99,378.6
E02000904,Waltham Forest 010,251977,74,100,402.1
E02000905,Waltham Forest 011,244410,75,98,408.3
E02000906,Waltham Forest 012,220812,56,97,374.6
E02000907,Waltham Forest 013,254646,73,98,384
E02000908,Waltham Forest 014,216084,63,98,388.2
E02000909,Waltham Forest 015,313484,75,99,460.2
E02000910,Waltham Forest 016,268232,87,99,425.7
E02000911,Waltham Forest 017,224911,218,98,412.2
E02000912,Waltham Forest 018,234223,67,97,417.6
E02000913,Waltham Forest 019,274039,107,98,421.4
E02000914,Waltham Forest 020,220026,111,100,399.5
E02000915,Waltham Forest 021,277546,67,102,433.7
E02000916,Waltham Forest 022,207009,88,99,380.4
E02000917,Waltham Forest 023,214528,70,100,369.8
E02000918,Waltham Forest 024,279661,112,107,384
E02000919,Waltham Forest 025,237888,61,105,371.9
E02000920,Waltham Forest 026,225167,129,102,361.4
E02000921,Waltham Forest 027,211028,68,102,371.9
E02000922,Waltham Forest 028,219229,69,99,376
E02000923,Wandsworth 001,758478,100,104,487
E02000924,Wandsworth 002,464596,86,105,455
E02000925,Wandsworth 003,521396,80,106,472.4
E02000926,Wandsworth 004,487190,83,104,498.9
E02000927,Wandsworth 005,468001,72,103,465.4
E02000928,Wandsworth 006,708291,75,100,375
E02000929,Wandsworth 007,289679,72,107,433
E02000930,Wandsworth 008,516882,141,105,454.3
E02000931,Wandsworth 009,696386,50,104,499.4
E02000932,Wandsworth 010,496595,161,105,484.9
E02000933,Wandsworth 011,675466,61,100,417.6
E02000934,Wandsworth 012,520869,138,109,471.6
E02000935,Wandsworth 013,696369,72,98,394.7
E02000936,Wandsworth 014,531985,49,102,401.1
E02000937,Wandsworth 015,926850,57,101,415.7
E02000938,Wandsworth 016,491974,58,98,405.2
E02000939,Wandsworth 017,1041288,52,101,393.7
E02000940,Wandsworth 018,326601,121,103,476.9
E02000941,Wandsworth 019,594564,58,103,423.6
E02000942,Wandsworth 020,549415,40,101,563.2
E02000943,Wandsworth 021,614958,120,102,472.1
E02000944,Wandsworth 022,324230,44,100,440.8
E02000945,Wandsworth 023,354154,80,99,478.1
E02000946,Wandsworth 024,420589,75,101,439.2
E02000947,Wandsworth 025,501489,49,100,467.7
E02000948,Wandsworth 026,451225,54,101,452.2
E02000949,Wandsworth 027,661237,74,100,490.8
E02000950,Wandsworth 028,444767,30,97,443.6
E02000951,Wandsworth 029,528724,83,103,437
E02000952,Wandsworth 030,546732,68,101,458.6
E02000953,Wandsworth 031,431111,52,101,472.1
E02000954,Wandsworth 032,439332,57,100,490
E02000955,Wandsworth 033,350308,66,100,399.9
E02000956,Wandsworth 034,281504,100,100,430.3
E02000957,Wandsworth 035,302795,112,102,449.1
E02000958,Wandsworth 036,391675,51,99,492.2
E02000959,Wandsworth 037,268979,56,100,444.3
E02000960,Westminster 001,1245297,66,104,427.9
E02000961,Westminster 002,1159136,65,104,394.7
E02000962,Westminster 003,768880,49,109,466.8
E02000963,Westminster 004,447771,66,103,432.7
E02000964,Westminster 005,345983,64,106,489.3
E02000965,Westminster 006,591928,64,102,430.7
E02000966,Westminster 007,1015304,73,107,448.1
E02000967,Westminster 008,1032486,169,109,404.2
E02000968,Westminster 009,424793,88,114,457.6
E02000969,Westminster 010,391395,91,118,454.1
E02000970,Westminster 011,1503583,516,120,439.4
E02000971,Westminster 012,894992,274,126,484
E02000972,Westminster 013,1169736,1877,116,449.3
E02000973,Westminster 014,985474,117,114,466.9
